,구,인구수,남성,여성,내국인,남성내국인,여성내국인,외국인,남성외국인,여성외국인,세대당인구,고령자,외국인비율
1,종로구,163569,79522,84047,153780,75247,78533,9789,4275,5514,2.09,26512,0.05984630339489757
2,중구,135427,66673,68754,126032,62260,63772,9395,4413,4982,2.06,21798,0.0693731678321162
3,용산구,245245,119963,125282,229677,111078,118599,15568,8885,6683,2.12,37331,0.06347937776509205
4,성동구,316068,155268,160800,308066,151571,156495,8002,3697,4305,2.27,42171,0.02531733677563056
5,광진구,370519,179621,190898,355748,173216,182532,14771,6405,8366,2.21,44806,0.039865701893830006
6,동대문구,364527,180126,184401,348903,174128,174775,15624,5998,9626,2.17,56675,0.04286102264029825
7,중랑구,410296,203711,206585,405551,201803,203748,4745,1908,2837,2.26,60618,0.01156482149472576
8,성북구,451829,218998,232831,440272,214430,225842,11557,4568,6989,2.36,67132,0.025578260802206144
9,강북구,326063,159219,166844,322385,157769,164616,3678,1450,2228,2.25,57401,0.011280028706108941
10,도봉구,344096,168282,175814,341928,167465,174463,2168,817,1351,2.49,54969,0.006300567283548777
11,노원구,553177,268396,284781,549365,266826,282539,3812,1570,2242,2.52,75741,0.006891103570828143
12,은평구,489045,236802,252243,484642,234905,249737,4403,1897,2506,2.38,76097,0.009003261458556984
13,서대문구,323261,154145,169116,311280,150131,161149,11981,4014,7967,2.26,49935,0.03706293057312821
14,마포구,385507,182627,202880,374691,178430,196261,10816,4197,6619,2.19,50350,0.028056559284267212
15,양천구,471026,232087,238939,467151,230322,236829,3875,1765,2110,2.65,56742,0.008226722091774127
16,강서구,606981,295221,311760,600257,291966,308291,6724,3255,3469,2.34,78042,0.01107777673436236
17,구로구,440305,220880,219425,407235,202016,205219,33070,18864,14206,2.37,60564,0.07510702808280624
18,금천구,252752,129612,123140,233263,118530,114733,19489,11082,8407,2.19,34945,0.07710720389947458
19,영등포구,404501,203696,200805,369003,183888,185115,35498,19808,15690,2.18,54994,0.08775750863409484
20,동작구,407275,197984,209291,394788,192296,202492,12487,5688,6799,2.26,58133,0.03065987354981278
21,관악구,521960,262235,259725,504048,253600,250448,17912,8635,9277,1.94,71317,0.03431680588550847
22,서초구,443989,212679,231310,439844,210596,229248,4145,2083,2062,2.52,54614,0.009335816878346085
23,강남구,551888,264332,287556,546952,261815,285137,4936,2517,2419,2.39,66011,0.008943843678427507
24,송파구,673161,327051,346110,666439,323741,342698,6722,3310,3412,2.48,79093,0.009985724068982012
25,강동구,437050,216814,220236,432749,214740,218009,4301,2074,2227,2.44,57680,0.009840979292987072
