구,인구수,남성,여성,내국인,남성내국인,여성내국인,외국인,남성외국인,여성외국인,세대당인구,고령자,외국인비율,고령비율,여성비율
종로구,163569,79522,84047,153780,75247,78533,9789,4275,5514,2.09,26512,0.059846303394897576,0.1620845025646669,0.5138320830964302
중구,135427,66673,68754,126032,62260,63772,9395,4413,4982,2.06,21798,0.0693731678321162,0.16095756385358906,0.5076831060276016
용산구,245245,119963,125282,229677,111078,118599,15568,8885,6683,2.12,37331,0.06347937776509205,0.1522192093620665,0.5108442577830333
성동구,316068,155268,160800,308066,151571,156495,8002,3697,4305,2.27,42171,0.02531733677563056,0.1334238201905919,0.5087512813698318
광진구,370519,179621,190898,355748,173216,182532,14771,6405,8366,2.21,44806,0.039865701893830006,0.12092767172533662,0.5152178430795722
동대문구,364527,180126,184401,348903,174128,174775,15624,5998,9626,2.17,56675,0.04286102264029825,0.1554754517498018,0.5058637631780362
중랑구,410296,203711,206585,405551,201803,203748,4745,1908,2837,2.26,60618,0.01156482149472576,0.14774211788562402,0.503502349523271
성북구,451829,218998,232831,440272,214430,225842,11557,4568,6989,2.36,67132,0.025578260802206144,0.14857833383868674,0.5153077823689935
강북구,326063,159219,166844,322385,157769,164616,3678,1450,2228,2.25,57401,0.011280028706108941,0.17604266660123966,0.5116925256775531
도봉구,344096,168282,175814,341928,167465,174463,2168,817,1351,2.49,54969,0.006300567283548777,0.15974902352831769,0.5109446201060169
노원구,553177,268396,284781,549365,266826,282539,3812,1570,2242,2.52,75741,0.0068911035708281426,0.13692000932793666,0.5148099071364138
은평구,489045,236802,252243,484642,234905,249737,4403,1897,2506,2.38,76097,0.009003261458556984,0.15560326759296178,0.5157868907769224
서대문구,323261,154145,169116,311280,150131,161149,11981,4014,7967,2.26,49935,0.03706293057312821,0.1544727016250027,0.5231562112348845
마포구,385507,182627,202880,374691,178430,196261,10816,4197,6619,2.19,50350,0.02805655928426721,0.1306072263279266,0.5262680055096276
양천구,471026,232087,238939,467151,230322,236829,3875,1765,2110,2.65,56742,0.008226722091774127,0.12046468772424453,0.5072734838416563
강서구,606981,295221,311760,600257,291966,308291,6724,3255,3469,2.34,78042,0.01107777673436236,0.12857404103258585,0.5136239849352779
구로구,440305,220880,219425,407235,202016,205219,33070,18864,14206,2.37,60564,0.07510702808280624,0.13755010731197692,0.4983477362282963
금천구,252752,129612,123140,233263,118530,114733,19489,11082,8407,2.19,34945,0.07710720389947458,0.1382580553269608,0.4871969361271127
영등포구,404501,203696,200805,369003,183888,185115,35498,19808,15690,2.18,54994,0.08775750863409484,0.1359551645113362,0.4964264612448424
동작구,407275,197984,209291,394788,192296,202492,12487,5688,6799,2.26,58133,0.030659873549812783,0.1427364802651771,0.5138812841446198
관악구,521960,262235,259725,504048,253600,250448,17912,8635,9277,1.94,71317,0.03431680588550847,0.13663307533144306,0.4975956011954939
서초구,443989,212679,231310,439844,210596,229248,4145,2083,2062,2.52,54614,0.009335816878346084,0.12300755198890062,0.5209813756647124
강남구,551888,264332,287556,546952,261815,285137,4936,2517,2419,2.39,66011,0.008943843678427507,0.11960941350418924,0.5210405009712116
송파구,673161,327051,346110,666439,323741,342698,6722,3310,3412,2.48,79093,0.009985724068982012,0.11749492320559272,0.5141563459558709
